model,C,solver,class_weight,max_iter,train_acc,test_acc,gap,max_depth,min_samples_split,min_samples_leaf,criterion,splitter,ccp_alpha,n_estimators,max_features,bootstrap
DecisionTree,,,,,0.9967612107356338,0.8419535131298793,0.1548076976057545,28.0,8.0,11.0,entropy,random,1e-05,,,
DecisionTree,,,,,0.997586784469688,0.8397799858055358,0.1578067986641521,25.0,6.0,6.0,entropy,random,1e-06,,,
RandomForest,,,balanced,,0.9990791677581704,0.8385379701916252,0.1605411975665451,32.0,3.0,5.0,,,,300.0,,False
RandomForest,,,balanced,,0.9990791677581704,0.8385379701916252,0.1605411975665451,25.0,2.0,5.0,,,,300.0,,False
RandomForest,,,balanced,,0.9990791677581704,0.8385379701916252,0.1605411975665451,29.0,6.0,5.0,,,,300.0,,False
DecisionTree,,,,,0.9955228501345528,0.8320173882185947,0.1635054619159579,30.0,17.0,15.0,entropy,random,0.0,,,
DecisionTree,,,,,0.9955228501345528,0.8320173882185947,0.1635054619159579,24.0,11.0,15.0,log_loss,random,0.0,,,
DecisionTree,,,,,0.9955228501345528,0.8320173882185947,0.1635054619159579,33.0,13.0,15.0,log_loss,random,1e-06,,,
DecisionTree,,,,,0.9955228501345528,0.8320173882185947,0.1635054619159579,31.0,7.0,15.0,entropy,random,1e-05,,,
DecisionTree,,,,,0.9955228501345528,0.8320173882185947,0.1635054619159579,30.0,16.0,15.0,entropy,random,0.0,,,
DecisionTree,,,,,0.9964516205853636,0.8314850958126331,0.1649665247727304,20.0,4.0,11.0,entropy,random,0.0,,,
DecisionTree,,,,,0.9960705865542616,0.8264283179559971,0.1696422685982644,24.0,16.0,10.0,gini,random,1e-06,,,
RandomForest,,,balanced,,0.9992458701467776,0.8251863023420866,0.1740595678046909,29.0,5.0,4.0,,,,100.0,,False
RandomForest,,,balanced,,0.9992458701467776,0.8251863023420866,0.1740595678046909,26.0,2.0,4.0,,,,100.0,,False
RandomForest,,,balanced,,0.9993887579084408,0.8251419446415897,0.174246813266851,38.0,4.0,3.0,,,,150.0,,False
RandomForest,,,balanced,,0.9993887579084408,0.8251419446415897,0.174246813266851,23.0,6.0,3.0,,,,100.0,,False
RandomForest,,,balanced,,0.9994046343264033,0.8251419446415897,0.1742626896848135,26.0,2.0,3.0,,,,300.0,,False
RandomForest,,,balanced,,0.9994046343264033,0.8251419446415897,0.1742626896848135,38.0,3.0,3.0,,,,200.0,,False
RandomForest,,,balanced,,0.9995554602970478,0.8244765791341376,0.1750788811629101,39.0,6.0,2.0,,,,100.0,,False
