model,C,solver,class_weight,max_iter,train_acc,test_acc,gap
LogisticRegression,29362.18523304597,lbfgs,balanced,2000,0.9767648623117652,0.7585610361958836,0.21820382611588163
LogisticRegression,29650.57504708152,lbfgs,balanced,5000,0.9766378509680645,0.75847232079489,0.21816553017317453
LogisticRegression,150537.91587022526,lbfgs,balanced,5000,0.976812491565653,0.7584279630943932,0.21838452847125978
LogisticRegression,32909.50856955536,lbfgs,balanced,3000,0.9762250641010375,0.7583392476933996,0.21788581640763793
LogisticRegression,109665.03940738787,lbfgs,balanced,2000,0.9767251712668588,0.7583392476933996,0.2183859235734592
LogisticRegression,152322.95914307082,lbfgs,balanced,2000,0.976455272161495,0.7581618168914124,0.2182934552700826
LogisticRegression,175074.5823340603,lbfgs,balanced,2000,0.9765584688782517,0.7581618168914124,0.21839665198683933
LogisticRegression,526614.388984017,lbfgs,balanced,5000,0.9764790867884388,0.7581174591909156,0.2183616275975232
LogisticRegression,48034.36017444155,lbfgs,balanced,3000,0.9767251712668588,0.7581174591909156,0.2186077120759432
LogisticRegression,32514.795387567912,lbfgs,balanced,5000,0.9764870249974201,0.7578956706884316,0.21859135430898857
LogisticRegression,284090.4957347081,lbfgs,balanced,5000,0.9764632103704762,0.7578513129879347,0.2186118973825415
LogisticRegression,20725.562873035564,lbfgs,balanced,3000,0.9764711485794575,0.7578513129879347,0.21861983559152276
LogisticRegression,83475.84847163084,lbfgs,balanced,3000,0.9764870249974201,0.7578513129879347,0.2186357120094854
LogisticRegression,5684.879281846022,lbfgs,balanced,2000,0.976566407087233,0.7578513129879347,0.21871509409929824
LogisticRegression,77874.96158035278,lbfgs,balanced,2000,0.976566407087233,0.7578513129879347,0.21871509409929824
LogisticRegression,30560.492877533303,lbfgs,balanced,3000,0.9764235193255698,0.7578069552874379,0.2186165640381319
LogisticRegression,279198.718132203,lbfgs,balanced,2000,0.9765187778333453,0.7578069552874379,0.21871182254590738
LogisticRegression,30460.216292421857,lbfgs,balanced,3000,0.9763282608177943,0.7577625975869411,0.21856566323085325
LogisticRegression,125592.82346196461,lbfgs,balanced,3000,0.9763600136537195,0.7577625975869411,0.2185974160667784
LogisticRegression,15230.911691560887,lbfgs,balanced,2000,0.9766378509680645,0.7577625975869411,0.21887525338112346
LogisticRegression,4761.999658885406,lbfgs,balanced,3000,0.9767648623117652,0.7577625975869411,0.2190022647248241
LogisticRegression,54070.23361732261,liblinear,balanced,5000,0.976129805593262,0.7577182398864443,0.21841156570681775
LogisticRegression,258279.49915164933,lbfgs,balanced,3000,0.9762726933549253,0.7577182398864443,0.218554453468481
LogisticRegression,3659.6420213218425,lbfgs,balanced,3000,0.9763917664896447,0.7577182398864443,0.21867352660320039
LogisticRegression,157310.24879131137,liblinear,balanced,5000,0.9761218673842808,0.7576738821859474,0.2184479851983333
LogisticRegression,280110.42547739105,lbfgs,balanced,2000,0.9767251712668588,0.7576738821859474,0.21905128908091132
LogisticRegression,81094.18588271894,liblinear,balanced,2000,0.9760901145483556,0.7576295244854506,0.21846059006290497
LogisticRegression,29286.060277543278,liblinear,balanced,3000,0.9760901145483556,0.7576295244854506,0.21846059006290497
LogisticRegression,122565.97492049374,liblinear,balanced,3000,0.9761139291752995,0.7576295244854506,0.21848440468984887
LogisticRegression,25883.05236845038,lbfgs,balanced,2000,0.9764790867884388,0.7576295244854506,0.21884956230298813
LogisticRegression,252453.99143548595,lbfgs,,2000,0.9757884626070666,0.7575851667849539,0.21820329582211273
LogisticRegression,21276.391001874636,liblinear,balanced,5000,0.9761377438022434,0.7575851667849539,0.21855257701728947
LogisticRegression,245146.35277552388,lbfgs,,3000,0.9753836139490208,0.7575408090844571,0.21784280486456375
LogisticRegression,1772.831807728592,liblinear,balanced,2000,0.9761139291752995,0.7575408090844571,0.2185731200908424
LogisticRegression,185688.66642419717,liblinear,balanced,3000,0.9761377438022434,0.7575408090844571,0.2185969347177863
LogisticRegression,44003.109862744655,lbfgs,balanced,2000,0.9766060981321394,0.7575408090844571,0.2190652890476823
LogisticRegression,853855.9707005654,lbfgs,balanced,2000,0.9762250641010375,0.7574964513839603,0.21872861271707722
LogisticRegression,25705.246048421795,lbfgs,balanced,2000,0.9765981599231581,0.7574520936834634,0.21914606623969468
LogisticRegression,206513.21300451332,liblinear,balanced,5000,0.976129805593262,0.7574077359829666,0.2187220696102954
LogisticRegression,362435.5910340512,liblinear,balanced,3000,0.9761536202202059,0.7574077359829666,0.21874588423723929
LogisticRegression,712646.736255426,lbfgs,balanced,3000,0.9762806315639065,0.7574077359829666,0.21887289558093992
LogisticRegression,8907.525880554887,lbfgs,,5000,0.9755979455915157,0.7573633782824698,0.2182345673090459
LogisticRegression,3728.5973489877306,lbfgs,,2000,0.975717018726235,0.757319020581973,0.21839799814426197
LogisticRegression,17377.53032623642,lbfgs,balanced,3000,0.9765584688782517,0.757319020581973,0.21923944829627873
LogisticRegression,14386.522562214523,lbfgs,,3000,0.9754074285759647,0.7572746628814763,0.21813276569448847
LogisticRegression,25970.58417609601,lbfgs,,2000,0.9755503163376279,0.7572746628814763,0.21827565345615163
LogisticRegression,16760.18797470768,liblinear,balanced,5000,0.9760583617124304,0.7572746628814763,0.21878369883095417
LogisticRegression,5606.639665222662,lbfgs,balanced,5000,0.9761218673842808,0.7572746628814763,0.21884720450280448
LogisticRegression,7410.597473677619,liblinear,balanced,5000,0.9761377438022434,0.7572746628814763,0.21886308092076712
LogisticRegression,4410.045668762176,lbfgs,,2000,0.9753836139490208,0.7572303051809794,0.2181533087680414
LogisticRegression,412537.8396682191,liblinear,balanced,2000,0.9760901145483556,0.7572303051809794,0.21885980936737615
LogisticRegression,11735.415934894481,liblinear,balanced,5000,0.9761059909663182,0.7572303051809794,0.21887568578533878
LogisticRegression,7159.561484447748,liblinear,balanced,3000,0.9761059909663182,0.7572303051809794,0.21887568578533878
