model,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,class_weight,train_acc,test_acc,gap
RandomForest,300,32.0,3,5,,False,balanced,0.9990791677581704,0.8385379701916252,0.16054119756654517
RandomForest,300,25.0,2,5,,False,balanced,0.9990791677581704,0.8385379701916252,0.16054119756654517
RandomForest,300,29.0,6,5,,False,balanced,0.9990791677581704,0.8385379701916252,0.16054119756654517
RandomForest,100,29.0,5,4,,False,balanced,0.9992458701467775,0.8251863023420866,0.1740595678046909
RandomForest,100,26.0,2,4,,False,balanced,0.9992458701467775,0.8251863023420866,0.1740595678046909
RandomForest,150,38.0,4,3,,False,balanced,0.9993887579084407,0.8251419446415897,0.174246813266851
RandomForest,100,23.0,6,3,,False,balanced,0.9993887579084407,0.8251419446415897,0.174246813266851
RandomForest,300,26.0,2,3,,False,balanced,0.9994046343264033,0.8251419446415897,0.1742626896848135
RandomForest,200,38.0,3,3,,False,balanced,0.9994046343264033,0.8251419446415897,0.1742626896848135
RandomForest,100,39.0,6,2,,False,balanced,0.9995554602970478,0.8244765791341376,0.17507888116291015
RandomForest,100,24.0,8,2,,False,balanced,0.9994840164162162,0.8243435060326473,0.17514051038356893
RandomForest,300,27.0,8,2,,False,balanced,0.9994840164162162,0.8242547906316536,0.17522922578456257
RandomForest,300,31.0,2,2,,False,balanced,0.9996348423868606,0.82416607523066,0.17546876715620063
RandomForest,200,31.0,3,2,,False,balanced,0.9996348423868606,0.8240330021291696,0.175601840257691
RandomForest,200,38.0,10,2,,False,balanced,0.999396696117422,0.8236781405251952,0.17571855559222682
RandomForest,100,37.0,10,2,,True,,0.9994363871623284,0.8214602555003548,0.17797613166197357
RandomForest,300,35.0,8,2,,True,balanced_subsample,0.9994998928341787,0.8196415897799858,0.17985830305419293
RandomForest,300,24.0,7,2,,True,,0.9995554602970478,0.8194198012775018,0.18013565901954598
RandomForest,100,32.0,2,2,,True,balanced_subsample,0.9996665952227858,0.8192423704755145,0.18042422474727127
RandomForest,300,23.0,8,2,,True,,0.9995395838790851,0.8187987934705465,0.18074079040853863
RandomForest,300,32.0,8,2,,True,,0.9995316456701039,0.8187544357700497,0.1807772099000542
RandomForest,100,33.0,2,7,,False,balanced,0.9986901955180872,0.8181334279630944,0.18055676755499284
RandomForest,300,33.0,2,7,,False,balanced,0.9986901955180872,0.8181334279630944,0.18055676755499284
RandomForest,200,21.0,3,7,,False,balanced,0.9986981337270685,0.8181334279630944,0.1805647057639741
RandomForest,200,31.0,6,7,,False,balanced,0.9986981337270685,0.8181334279630944,0.1805647057639741
RandomForest,200,38.0,5,7,,False,balanced,0.9986981337270685,0.8181334279630944,0.1805647057639741
RandomForest,100,39.0,9,4,,True,balanced,0.9991744262659459,0.8165365507452094,0.18263787552073651
RandomForest,300,28.0,9,3,,True,balanced,0.9993331904455717,0.8163147622427254,0.1830184282028463
RandomForest,150,21.0,13,3,,True,balanced,0.9992379319377962,0.8158711852377573,0.18336674670003894
RandomForest,50,30.0,14,4,,True,,0.9990632913402078,0.8152058197303051,0.18385747160990262
RandomForest,300,31.0,9,3,,True,,0.9993649432814968,0.8151614620298083,0.1842034812516885
RandomForest,100,20.0,14,3,,True,balanced_subsample,0.9991664880569646,0.8151171043293116,0.184049383727653
RandomForest,150,31.0,10,3,,True,balanced_subsample,0.9992934994006653,0.815028388928318,0.18426511047234728
RandomForest,100,31.0,4,3,,True,balanced_subsample,0.9994681399982536,0.8148953158268275,0.18457282417142606
RandomForest,100,32.0,10,3,,True,balanced_subsample,0.9992696847737214,0.814806600425834,0.18446308434788738
