model,max_depth,min_samples_split,min_samples_leaf,criterion,splitter,ccp_alpha,train_acc,test_acc,gap
DecisionTree,28,8,11,entropy,random,1e-05,0.9967612107356338,0.8419535131298793,0.15480769760575452
DecisionTree,25,6,6,entropy,random,1e-06,0.997586784469688,0.8397799858055358,0.15780679866415215
DecisionTree,30,17,15,entropy,random,0.0,0.9955228501345527,0.8320173882185947,0.16350546191595794
DecisionTree,24,11,15,log_loss,random,0.0,0.9955228501345527,0.8320173882185947,0.16350546191595794
DecisionTree,33,13,15,log_loss,random,1e-06,0.9955228501345527,0.8320173882185947,0.16350546191595794
DecisionTree,31,7,15,entropy,random,1e-05,0.9955228501345527,0.8320173882185947,0.16350546191595794
DecisionTree,30,16,15,entropy,random,0.0,0.9955228501345527,0.8320173882185947,0.16350546191595794
DecisionTree,20,4,11,entropy,random,0.0,0.9964516205853635,0.8314850958126331,0.16496652477273044
DecisionTree,24,16,10,gini,random,1e-06,0.9960705865542616,0.8264283179559971,0.16964226859826448
DecisionTree,32,9,15,log_loss,random,0.0001,0.995395838790852,0.8215933286018453,0.17380251018900672
DecisionTree,23,5,11,gini,random,1e-06,0.9956339850602907,0.8215933286018453,0.17404065645844535
DecisionTree,25,4,9,gini,random,1e-06,0.9967532725266526,0.819597232079489,0.1771560404471636
DecisionTree,14,8,20,gini,best,0.001,0.9919189032570471,0.8190649396735273,0.1728539635835198
DecisionTree,23,8,11,gini,best,0.001,0.9919189032570471,0.8190649396735273,0.1728539635835198
DecisionTree,2,34,6,gini,best,1e-06,0.9565700586633644,0.8152945351312988,0.14127552353206563
DecisionTree,28,14,10,gini,random,0.0001,0.9954672826716836,0.8151171043293116,0.180350178342372
DecisionTree,33,6,7,entropy,random,1e-05,0.9974042056631183,0.8144073811213627,0.1829968245417556
DecisionTree,26,2,7,gini,random,0.0001,0.99575305819501,0.8143630234208659,0.18139003477414417
DecisionTree,32,10,7,entropy,random,1e-06,0.9974359584990434,0.8142743080198722,0.1831616504791712
DecisionTree,30,8,11,gini,random,0.0001,0.9944829447580037,0.8133427963094393,0.1811401484485644
DecisionTree,33,15,16,gini,random,0.0001,0.9948877934160495,0.8133427963094393,0.1815449971066102
DecisionTree,27,17,7,entropy,random,0.0,0.9971422447667357,0.812721788502484,0.18442045626425174
DecisionTree,25,11,11,gini,random,0.0001,0.9947290292364237,0.8120120652945352,0.18271696394188852
DecisionTree,24,23,11,entropy,random,0.001,0.9903630142967144,0.8110805535841022,0.1792824607126121
DecisionTree,25,12,13,gini,random,0.0001,0.9954752208806649,0.810681334279631,0.1847938866010339
